Instrution,Output

အဏုဇီဝဗေဒဆိုတာ ဘာလဲ ရှင်းပြပါ,အဏုဇီဝဗေဒသည် မျက်စိဖြင့် မမြင်နိုင်သော အဏုဇီဝသက်ရှိများကို လေ့လာသည့် သိပ္ပံပညာရပ် ဖြစ်သည်။ ဤပညာရပ်တွင် ဘက်တီးရီးယား၊ ဗိုင်းရပ်စ်၊ မှို၊ နှင့် protozoa များကို အဓိက လေ့လာသည်။
Bacteria ၏ ဖွဲ့စည်းပုံကို ဖော်ပြပါ,Bacteria သည် prokaryotic cell ဖြစ်ပြီး၊ နျူကလိယပ်အမြှေးပါး မရှိပါ။ ၎င်းတွင် cell wall၊ cell membrane၊ cytoplasm နှင့် ribosomes များ ပါဝင်သည်။ အချို့တွင် flagella သို့မဟုတ် pili လည်း ရှိနိုင်သည်။
Virus ၏ အဓိက အစိတ်အပိုင်းများကို ဖော်ပြပါ,Virus တွင် အဓိက အစိတ်အပိုင်း ၂ ခု ရှိသည် - ၁) ဗီဇပစ္စည်း (DNA သို့မဟုတ် RNA) နှင့် ၂) protein coat (capsid ဟုခေါ်သည်)။ အချို့ virus များတွင် lipid envelope လည်း ရှိသည်။
Fungi ကို အဘယ်ကြောင့် လေ့လာရသနည်း ရှင်းပြပါ,Fungi များကို လေ့လာခြင်းဖြင့် သဘာဝပတ်ဝန်းကျင်တွင် ၎င်းတို့၏ အရေးပါမှု၊ စက်မှုလုပ်ငန်းများတွင် အသုံးပြုပုံ၊ ရောဂါဖြစ်ပွားစေသော မှိုများ၏ သဘာဝကို နားလည်နိုင်သည်။ ထို့အပြင် antibiotics ထုတ်လုပ်ရာတွင်လည်း အရေးပါသည်။
Protozoa များ၏ သွင်ပြင်လက္ခဏာများကို ဖော်ပြပါ,Protozoa များသည် single-celled eukaryotes ဖြစ်ကြသည်။ ၎င်းတို့တွင် နျူကလိယပ်အမြှေးပါး ရှိပြီး၊ organelles များ ပါဝင်သည်။ အစာစားခြင်း၊ ရွေ့လျားခြင်း၊ နှင့် မျိုးပွားခြင်းတို့ကို ဆဲလ်တစ်ခုတည်းဖြင့် ပြုလုပ်နိုင်သည်။
Gram staining ၏ အရေးပါပုံကို ရှင်းပြပါ,Gram staining သည် ဘက်တီးရီးယားများကို ခွဲခြားသတ်မှတ်ရန် အရေးကြီးသော နည်းလမ်းတစ်ခု ဖြစ်သည်။ ၎င်းဖြင့် ဘက်တီးရီးယားများကို Gram-positive နှင့် Gram-negative ဟူ၍ ခွဲခြားနိုင်ပြီး၊ သင့်လျော်သော ကုသမှုကို ရွေးချယ်ရာတွင် အထောက်အကူ ဖြစ်စေသည်။
Plasmid ဆိုတာ ဘာလဲ ရှင်းပြပါ,Plasmid သည် ဘက်တီးရီးယား၏ ပင်မ DNA ပြင်ပတွင် တွေ့ရသော သေးငယ်သော DNA molecule ဖြစ်သည်။ ၎င်းသည် ပဋိဇီဝဆေး ခံနိုင်ရည်ရှိမှု သို့မဟုတ် အခြားအကျိုးပြု လက္ခဏာများအတွက် gene များကို သယ်ဆောင်နိုင်သည်။
PCR နည်းပညာ၏ အသုံးဝင်ပုံကို ဖော်ပြပါ,PCR (Polymerase Chain Reaction) နည်းပညာသည် DNA ၏ မိတ္တူများကို အလျင်အမြန် ထုတ်လုပ်ပေးသည်။ ၎င်းကို ရောဂါရှာဖွေရေး၊ မှုခင်းဆေးပညာ၊ နှင့် သုတေသနလုပ်ငန်းများတွင် ကျယ်ကျယ်ပြန့်ပြန့် အသုံးပြုကြသည်။
Antibiotic resistance ဖြစ်ပေါ်ပုံကို ရှင်းပြပါ,Antibiotic resistance သည် ဘက်တီးရီးယားများ ပဋိဇီဝဆေးကို ခံနိုင်ရည်ရှိလာသောအခါ ဖြစ်ပေါ်သည်။ ၎င်းသည် mutation၊ gene transfer၊ သို့မဟုတ် ပဋိဇီဝဆေး အလွန်အကျွံ သုံးစွဲခြင်းကြောင့် ဖြစ်ပေါ်နိုင်သည်။ ဤပြဿနာကြောင့် ပိုမိုခက်ခဲသော ကုသမှုများ လိုအပ်လာသည်။
Biofilm ဆိုတာ ဘာလဲ ရှင်းပြပါ,Biofilm သည် မျက်နှာပြင်တစ်ခုပေါ်တွင် စုပေါင်းနေထိုင်ကြသော အဏုဇီဝသက်ရှိများ၏ အုပ်စု ဖြစ်သည်။ ၎င်းတို့သည် extracellular polymeric substance (EPS) ဟုခေါ်သော လွှာတစ်ခုဖြင့် ဖုံးအုပ်ထားသည်။ Biofilm များသည် ဆေးဝါးများကို ခံနိုင်ရည် ပိုရှိပြီး၊ ရောဂါဖြစ်ပွားမှုများတွင် အရေးပါသည်။
Fermentation လုပ်ငန်းစဉ်ကို ရှင်းပြပါ,Fermentation သည် အဏုဇီဝသက်ရှိများက အောက်စီဂျင် မလိုဘဲ သကြားကို စွမ်းအင်အဖြစ် ပြောင်းလဲသည့် ဇီဝဓာတုဖြစ်စဉ် ဖြစ်သည်။ ဤလုပ်ငန်းစဉ်ကို အရက်၊ ဒိန်ချဉ်၊ နှင့် အခြားအစားအသောက်များ ထုတ်လုပ်ရာတွင် အသုံးပြုသည်။
Endospore ဆိုတာ ဘာလဲ ရှင်းပြပါ,Endospore သည် အချို့သော ဘက်တီးရီးယားများက ဖန်တီးသော ကြံ့ခိုင်သော ဖွဲ့စည်းပုံတစ်ခု ဖြစ်သည်။ ၎င်းသည် ပတ်ဝန်းကျင်အခြေအနေ ဆိုးရွားချိန်တွင် ဘက်တီးရီးယားကို ကာကွယ်ပေးသည်။ Endospore များသည် အပူ၊ ဓာတုပစ္စည်းများ၊ နှင့် ရောင်ခြည်များကို ခံနိုင်ရည်ရှိသည်။
Microbiome ဆိုတာ ဘာလဲ ရှင်းပြပါ,Microbiome သည် သတ်မှတ်ထားသော ပတ်ဝန်းကျင်တစ်ခုတွင် တွေ့ရှိရသော အဏုဇီဝသက်ရှိများ အားလုံး၏ စုစုပေါင်း ဖြစ်သည်။ လူ့ခန္ဓာကိုယ်တွင် microbiome ရှိပြီး၊ ၎င်းသည် ကျန်းမာရေး နှင့် ရောဂါဖြစ်ပွားမှုတွင် အရေးပါသော အခန်းကဏ္ဍမှ ပါဝင်သည်။
Probiotic ဘက်တီးရီးယားများ၏ အကျိုးကျေးဇူးများကို ဖော်ပြပါ,Probiotic ဘက်တီးရီးယားများသည် အူလမ်းကြောင်း ကျန်းမာရေးကို ကောင်းမွန်စေသည်။ ၎င်းတို့သည် ခြံုငုံသုံးသပ်ရလျှင် ကိုယ်ခံအားစနစ်ကို အားဖြည့်ပေးခြင်း၊ အစာခြေစနစ်ကို ကူညီခြင်း၊ နှင့် ရောဂါဖြစ်ပွားစေသော ဘက်တီးရီးယားများကို တိုက်ထုတ်ခြင်းတို့ကို ပြုလုပ်ပေးသည်။
